"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MINIMUM (Centigrate)","FEBRUARY MINIMUM (Centigrate)","MARCH MINIMUM (Centigrate)","APRIL MINIMUM (Centigrate)","MAY MINIMUM (Centigrate)","JUNE MINIMUM (Centigrate)","JULY MINIMUM (Centigrate)","AUGUST MINIMUM (Centigrate)","SEPTEMBER MINIMUM (Centigrate)","OCTOBER MINIMUM (Centigrate)","NOVEMBER MINIMUM (Centigrate)","DECEMBER MINIMUM (Centigrate)"
"168","2012","9","Punjab","Jalandhar","5.68","8.88","14.22","18.21","23.92","28.42","27.64","25.82","23.49","17.49","10.55","7.32"
"168","2013","9","Punjab","Jalandhar","4.49","6.39","12.96","18.65","24.7","27.31","27.17","26.04","24.31","19.34","10.44","7.33"
"168","2014","9","Punjab","Jalandhar","6.27","8.52","12.82","17.41","22.69","28.15","27.81","26.34","22.88","18.2","10.57","6.45"
"168","2015","9","Punjab","Jalandhar","6.27","8.52","12.82","17.41","22.69","28.15","27.81","26.34","22.88","18.2","11.66","7.65"
"169","2000","9","Punjab","Hoshiarpur","6.41","7.26","12.76","19.7","25.74","26.46","25.78","25.01","22.86","18.11","11.85","7.74"
"169","2001","9","Punjab","Hoshiarpur","5.67","9.78","14.04","18.66","24.8","26.07","25.88","25.64","23.06","18.49","10.94","9.0"
"169","2002","9","Punjab","Hoshiarpur","6.02","8.6","13.69","19.97","24.39","26.33","26.23","26.09","22.64","18.13","11.37","8.82"
"169","2003","9","Punjab","Hoshiarpur","5.07","8.93","13.32","18.93","22.7","27.02","25.48","25.2","23.0","16.77","9.83","7.1"
"169","2004","9","Punjab","Hoshiarpur","6.9","8.46","15.8","19.95","23.33","25.46","26.05","24.32","22.39","16.52","10.24","7.39"
"169","2005","9","Punjab","Hoshiarpur","5.23","8.67","13.7","17.78","22.8","27.26","25.34","24.92","23.81","17.71","10.27","6.05"
"169","2006","9","Punjab","Hoshiarpur","7.93","12.58","13.67","19.64","25.46","25.89","25.67","25.76","22.57","18.78","12.05","7.31"
"169","2007","9","Punjab","Hoshiarpur","5.5","9.08","12.64","20.58","24.13","26.2","25.89","25.8","23.69","17.45","9.88","7.34"
"169","2008","9","Punjab","Hoshiarpur","7.26","7.2","15.41","17.61","23.87","26.78","26.28","24.34","22.7","18.2","10.67","8.0"
"169","2009","9","Punjab","Hoshiarpur","7.6","10.25","14.42","18.44","24.32","26.54","26.31","25.45","23.07","18.15","10.61","7.74"
"169","2010","9","Punjab","Hoshiarpur","5.13","9.48","16.6","21.45","24.82","26.38","25.99","25.64","23.5","18.93","10.92","6.38"
"169","2011","9","Punjab","Hoshiarpur","4.69","9.58","14.87","17.69","25.27","26.94","26.0","25.13","23.61","18.36","11.9","8.11"
"169","2012","9","Punjab","Hoshiarpur","5.79","9.14","14.44","18.44","23.99","28.04","27.05","25.3","23.25","17.26","10.87","7.63"
"169","2013","9","Punjab","Hoshiarpur","4.64","6.49","13.05","18.78","24.81","26.94","26.5","25.46","23.86","19.37","10.72","7.79"
"169","2014","9","Punjab","Hoshiarpur","6.43","8.48","13.06","17.54","22.56","27.78","27.09","25.7","22.75","18.37","10.79","6.95"
"169","2015","9","Punjab","Hoshiarpur","6.43","8.48","13.06","17.54","22.56","27.78","27.09","25.7","22.75","18.37","11.98","8.18"
"170","2000","9","Punjab","Roopnagar","6.63","7.38","12.78","20.14","25.94","26.47","25.89","25.09","22.83","17.78","11.95","7.47"
"170","2001","9","Punjab","Roopnagar","6.09","9.94","14.09","19.04","25.01","26.2","26.04","25.54","22.98","18.4","11.06","9.06"
"170","2002","9","Punjab","Roopnagar","6.2","8.77","13.54","20.46","24.62","26.6","26.16","26.19","22.66","18.19","11.6","8.8"
"170","2003","9","Punjab","Roopnagar","5.13","9.0","13.23","19.28","23.13","27.27","25.65","25.25","22.65","16.65","9.88","6.93"
"170","2004","9","Punjab","Roopnagar","6.99","8.48","15.42","20.49","23.63","25.79","26.43","24.38","22.16","16.38","10.21","7.34"
"170","2005","9","Punjab","Roopnagar","5.45","9.04","13.79","18.29","23.09","27.4","25.65","24.92","23.75","17.52","10.55","6.01"
"170","2006","9","Punjab","Roopnagar","8.44","12.55","13.62","20.27","25.66","26.14","25.95","26.02","22.51","18.66","12.49","7.5"
"170","2007","9","Punjab","Roopnagar","5.86","9.52","12.6","20.98","24.5","26.48","26.31","25.77","23.65","17.18","10.04","7.32"
"170","2008","9","Punjab","Roopnagar","7.79","7.21","15.31","18.02","24.23","26.83","26.52","24.55","22.78","17.9","10.82","8.0"
