"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MAXIMUM (Centigrate)","FEBRUARY MAXIMUM (Centigrate)","MARCH MAXIMUM (Centigrate)","APRIL MAXIMUM (Centigrate)","MAY MAXIMUM (Centigrate)","JUNE MAXIMUM (Centigrate)","JULY MAXIMUM (Centigrate)","AUGUST MAXIMUM (Centigrate)","SEPTEMBER MAXIMUM (Centigrate)","OCTOBER MAXIMUM (Centigrate)","NOVEMBER MAXIMUM (Centigrate)","DECEMBER MAXIMUM (Centigrate)"
"169","2012","9","Punjab","Hoshiarpur","16.63","19.97","27.18","33.14","38.47","39.68","34.9","31.93","31.74","29.5","25.63","20.63"
"169","2013","9","Punjab","Hoshiarpur","17.87","22.31","27.62","33.57","39.36","38.58","33.91","31.55","32.3","31.8","25.38","21.31"
"169","2014","9","Punjab","Hoshiarpur","18.15","20.88","26.41","32.47","36.8","39.62","33.85","33.04","32.14","30.63","26.18","19.74"
"169","2015","9","Punjab","Hoshiarpur","17.77","22.15","26.31","33.61","38.57","36.8","32.46","31.72","32.61","31.2","26.3","21.12"
"170","2000","9","Punjab","Roopnagar","19.11","20.59","27.25","36.26","40.16","37.61","32.63","32.35","32.61","32.71","26.87","22.67"
"170","2001","9","Punjab","Roopnagar","18.32","23.86","28.59","34.24","39.45","36.6","33.19","33.14","32.48","31.91","27.14","21.07"
"170","2002","9","Punjab","Roopnagar","19.23","22.54","29.76","35.45","40.75","38.6","35.37","31.98","29.59","30.74","26.91","21.66"
"170","2003","9","Punjab","Roopnagar","19.28","22.21","27.74","35.24","37.4","38.93","32.88","31.72","32.17","31.27","25.59","21.03"
"170","2004","9","Punjab","Roopnagar","18.71","24.82","32.52","36.59","39.53","36.48","34.22","32.04","33.77","29.2","27.15","22.87"
"170","2005","9","Punjab","Roopnagar","18.27","20.77","28.91","33.79","36.66","38.94","32.91","33.78","32.14","30.65","26.51","20.48"
"170","2006","9","Punjab","Roopnagar","18.69","26.43","28.3","34.43","39.99","36.86","34.41","31.3","31.96","30.91","26.48","21.2"
"170","2007","9","Punjab","Roopnagar","20.09","23.07","28.03","37.06","37.99","38.53","33.8","32.87","32.23","30.99","28.11","20.29"
"170","2008","9","Punjab","Roopnagar","16.25","21.74","31.4","34.08","36.88","36.9","33.4","31.43","31.26","32.06","27.68","23.06"
"170","2009","9","Punjab","Roopnagar","19.97","23.87","29.61","35.3","38.85","38.63","33.84","33.52","32.0","31.0","25.82","21.84"
"170","2010","9","Punjab","Roopnagar","19.91","23.9","32.3","37.69","39.57","37.76","33.51","31.25","30.94","31.54","27.75","21.12"
"170","2011","9","Punjab","Roopnagar","17.88","22.21","29.08","33.46","39.7","36.88","33.36","31.78","32.01","31.17","28.55","22.02"
"170","2012","9","Punjab","Roopnagar","16.75","20.32","27.62","33.74","38.78","39.44","35.12","31.78","31.81","29.4","25.78","20.75"
"170","2013","9","Punjab","Roopnagar","18.06","22.63","28.22","34.14","39.62","37.94","33.8","31.38","32.09","31.58","25.7","21.53"
"170","2014","9","Punjab","Roopnagar","18.18","20.93","26.85","33.16","36.81","39.29","33.8","33.01","32.26","30.82","26.49","19.9"
"170","2015","9","Punjab","Roopnagar","17.93","22.78","26.72","34.09","38.73","36.4","32.31","31.6","32.85","31.52","26.61","21.31"
"171","2000","9","Punjab","Ludhiana","19.71","21.62","28.38","37.25","40.93","38.5","33.78","33.51","33.43","34.02","28.03","23.8"
"171","2001","9","Punjab","Ludhiana","18.61","24.63","29.59","35.16","40.26","37.26","34.1","34.29","33.34","33.05","28.33","21.88"
"171","2002","9","Punjab","Ludhiana","19.93","23.42","30.96","36.42","41.72","39.52","36.56","33.19","30.46","31.81","27.97","22.49"
"171","2003","9","Punjab","Ludhiana","19.85","23.09","28.86","36.23","38.34","39.84","33.73","32.8","33.05","32.5","26.63","21.93"
"171","2004","9","Punjab","Ludhiana","19.31","25.8","33.79","37.52","40.4","37.29","35.29","33.25","34.73","30.34","28.43","23.79"
"171","2005","9","Punjab","Ludhiana","18.97","21.51","29.96","34.73","37.55","39.95","33.89","35.04","32.87","31.84","27.71","21.35"
"171","2006","9","Punjab","Ludhiana","19.12","27.38","29.37","35.34","40.82","37.67","35.48","32.38","32.8","32.04","27.46","21.94"
"171","2007","9","Punjab","Ludhiana","20.61","23.74","29.17","38.0","38.61","39.27","34.71","34.06","33.04","32.23","29.34","21.07"
"171","2008","9","Punjab","Ludhiana","16.66","22.75","32.63","35.03","37.63","37.61","34.38","32.49","32.08","33.44","28.84","23.88"
"171","2009","9","Punjab","Ludhiana","20.51","24.72","30.64","36.23","39.71","39.66","34.89","34.68","33.02","32.29","26.9","22.64"
"171","2010","9","Punjab","Ludhiana","20.78","24.94","33.49","38.75","40.53","38.72","34.57","32.32","31.65","32.82","28.78","21.89"
"171","2011","9","Punjab","Ludhiana","18.48","22.93","30.26","34.25","40.51","37.59","34.38","32.84","32.75","32.36","29.85","22.9"
"171","2012","9","Punjab","Ludhiana","17.37","21.01","28.62","34.61","39.69","40.42","36.25","32.88","32.55","30.42","26.86","21.44"
"171","2013","9","Punjab","Ludhiana","18.84","23.91","29.12","35.02","40.59","38.7","34.7","32.48","32.96","32.63","26.82","22.43"
"171","2014","9","Punjab","Ludhiana","18.7","21.76","27.83","34.1","37.83","40.31","34.81","34.27","33.04","32.01","27.59","20.58"
"171","2015","9","Punjab","Ludhiana","18.39","23.57","27.78","35.03","39.62","37.28","33.16","32.72","33.74","32.65","27.54","22.15"
"172","2000","9","Punjab","Ferozpur","19.32","22.1","28.52","37.23","41.34","39.6","35.05","34.91","34.13","34.57","27.83","23.35"
"172","2001","9","Punjab","Ferozpur","18.16","24.73","29.58","34.97","40.54","38.08","35.04","35.49","34.02","33.55","28.28","21.45"
"172","2002","9","Punjab","Ferozpur","19.82","23.53","31.11","36.4","41.95","40.45","37.93","34.58","31.38","32.29","27.83","21.94"
"172","2003","9","Punjab","Ferozpur","19.53","23.25","28.76","35.96","38.34","40.81","34.78","33.89","33.76","32.91","26.29","21.54"
"172","2004","9","Punjab","Ferozpur","18.96","26.17","33.8","37.31","40.4","38.2","36.48","34.43","35.53","30.67","28.45","23.12"
"172","2005","9","Punjab","Ferozpur","18.71","21.34","29.6","34.51","37.69","41.0","34.95","36.25","33.48","32.38","27.54","20.84"
"172","2006","9","Punjab","Ferozpur","18.35","27.44","29.21","35.26","41.03","38.5","36.63","33.52","33.5","32.55","27.15","21.2"
"172","2007","9","Punjab","Ferozpur","20.16","23.86","28.8","37.77","38.66","39.91","35.62","35.28","33.7","32.58","29.36","20.59"
"172","2008","9","Punjab","Ferozpur","15.93","22.84","32.73","34.88","37.66","38.37","35.51","33.66","32.83","34.17","28.6","23.33"
"172","2009","9","Punjab","Ferozpur","20.21","24.77","30.25","35.66","39.8","40.54","36.07","35.95","34.17","32.86","26.54","22.1"
"172","2010","9","Punjab","Ferozpur","20.91","25.16","33.52","38.54","40.72","39.59","35.62","33.37","32.23","33.48","28.5","21.31"
"172","2011","9","Punjab","Ferozpur","18.23","22.93","30.11","33.92","40.8","38.74","35.52","34.06","33.33","32.78","29.84","22.14"
"172","2012","9","Punjab","Ferozpur","17.3","20.7","28.31","34.32","39.54","41.21","37.49","34.18","33.01","30.86","26.82","20.74"
"172","2013","9","Punjab","Ferozpur","19.05","24.57","28.43","34.73","40.63","39.71","35.96","33.67","33.85","33.18","26.67","21.84"
"172","2014","9","Punjab","Ferozpur","18.64","22.03","27.64","33.79","38.04","41.45","36.15","35.56","33.79","32.5","27.33","19.84"
"172","2015","9","Punjab","Ferozpur","18.16","23.18","27.58","34.87","39.46","38.25","34.22","33.87","34.45","32.97","27.22","21.63"
"174","2000","9","Punjab","Bhatinda","20.26","22.65","29.57","38.31","41.68","39.62","35.37","35.02","34.58","35.32","29.21","24.62"
"174","2001","9","Punjab","Bhatinda","18.93","25.27","30.47","35.96","40.93","37.92","35.21","35.5","34.43","34.3","29.5","22.47"
"174","2002","9","Punjab","Bhatinda","20.58","24.14","32.1","37.44","42.6","40.59","37.96","34.77","31.78","33.16","29.07","23.03"
"174","2003","9","Punjab","Bhatinda","20.32","23.82","29.86","37.22","39.27","40.82","34.89","34.1","34.0","33.7","27.65","22.48"
"174","2004","9","Punjab","Bhatinda","19.75","26.69","34.75","38.42","41.1","38.29","36.88","34.61","35.91","31.5","29.73","24.35"
"174","2005","9","Punjab","Bhatinda","19.6","22.11","30.89","35.55","38.27","41.02","35.25","36.36","33.77","33.08","28.8","21.86"
"174","2006","9","Punjab","Bhatinda","19.36","28.1","30.2","36.28","41.49","38.52","36.87","33.65","33.75","33.19","28.33","22.32"
"174","2007","9","Punjab","Bhatinda","21.0","24.42","29.99","38.8","39.17","40.04","35.97","35.4","34.09","33.38","30.63","21.55"
"174","2008","9","Punjab","Bhatinda","16.94","23.46","33.8","35.97","38.22","38.25","35.75","33.79","33.39","34.92","29.98","24.43"
"174","2009","9","Punjab","Bhatinda","20.93","25.51","31.59","36.96","40.68","40.74","36.37","36.13","34.48","33.6","27.89","23.27"
"174","2010","9","Punjab","Bhatinda","21.68","25.84","34.59","39.76","41.52","39.94","35.94","33.55","32.47","34.14","29.72","22.3"
"174","2011","9","Punjab","Bhatinda","19.05","23.68","31.14","35.05","41.25","38.71","35.77","34.2","33.5","33.4","30.97","23.23"
"174","2012","9","Punjab","Bhatinda","18.03","21.45","29.45","35.38","40.44","41.37","37.7","34.21","33.39","31.66","27.94","21.86"
"174","2013","9","Punjab","Bhatinda","19.74","25.2","29.83","35.89","41.35","39.61","36.08","33.75","34.1","33.7","27.82","22.94"
